                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 2.2928,                 1.6351,                 1.9455,                 0.5886,                 0.4453,                 0.4838,                0.27052,                 2.8289,                 2.6253,                 2.2581,             0.00019804,             0.00019804,             0.00019804
                    104,                 2.3153,                 1.6605,                 1.9458,                0.53575,                0.46032,                0.47991,                0.26897,                 2.8216,                  2.638,                 2.2475,             0.00019606,             0.00019606,             0.00019606
                    105,                 2.3317,                 1.6505,                 1.9331,                0.59358,                0.44956,                0.47885,                0.27236,                 2.8285,                 2.6439,                 2.2563,             0.00019408,             0.00019408,             0.00019408
                    106,                 2.2959,                 1.6356,                 1.9344,                0.60274,                0.44895,                   0.48,                0.27126,                 2.8179,                 2.6783,                 2.2577,              0.0001921,              0.0001921,              0.0001921
                    107,                 2.2979,                 1.6309,                  1.935,                0.62168,                0.43212,                 0.4771,                0.26914,                 2.8329,                 2.6803,                 2.2691,             0.00019012,             0.00019012,             0.00019012
                    108,                 2.3177,                 1.6408,                 1.9368,                0.54574,                0.46929,                0.47427,                0.26712,                 2.8481,                 2.6971,                 2.2808,             0.00018814,             0.00018814,             0.00018814
                    109,                 2.2812,                   1.63,                 1.9347,                0.56902,                0.45771,                0.47629,                0.27082,                 2.8194,                 2.6948,                 2.2713,             0.00018616,             0.00018616,             0.00018616
                    110,                 2.2596,                 1.6028,                 1.9204,                0.58772,                0.44378,                0.47684,                0.27013,                  2.834,                 2.6987,                 2.2689,             0.00018418,             0.00018418,             0.00018418
                    111,                 2.2914,                 1.6056,                 1.9175,                0.62107,                 0.4528,                0.48092,                0.27406,                 2.8096,                 2.6705,                 2.2549,              0.0001822,              0.0001822,              0.0001822
                    112,                 2.2755,                 1.6118,                 1.9248,                0.63562,                0.45073,                0.48109,                0.27128,                 2.8333,                 2.6658,                 2.2703,             0.00018022,             0.00018022,             0.00018022
                    113,                 2.3008,                 1.6151,                 1.9309,                0.58808,                0.46411,                 0.4817,                0.27169,                 2.8198,                 2.6472,                 2.2544,             0.00017824,             0.00017824,             0.00017824
                    114,                 2.2642,                 1.6025,                 1.9316,                0.59417,                0.44552,                 0.4849,                0.27519,                 2.8221,                 2.6253,                 2.2486,             0.00017626,             0.00017626,             0.00017626
                    115,                 2.2767,                 1.6156,                 1.9316,                0.63769,                0.44932,                0.48375,                0.27728,                 2.8368,                 2.6331,                 2.2695,             0.00017428,             0.00017428,             0.00017428
                    116,                 2.2849,                 1.6073,                 1.9284,                0.65406,                0.42709,                0.47784,                 0.2708,                 2.8093,                 2.6896,                 2.2618,              0.0001723,              0.0001723,              0.0001723
                    117,                 2.2569,                 1.5988,                 1.9229,                0.48829,                0.46862,                 0.4839,                0.27168,                 2.8369,                 2.6746,                 2.2692,             0.00017032,             0.00017032,             0.00017032
                    118,                 2.2598,                 1.5999,                  1.924,                0.59861,                0.43553,                0.48379,                0.27265,                 2.8294,                 2.6612,                 2.2647,             0.00016834,             0.00016834,             0.00016834
                    119,                 2.2475,                  1.583,                 1.9232,                  0.628,                0.42281,                0.47936,                0.27081,                 2.8348,                  2.671,                 2.2676,             0.00016636,             0.00016636,             0.00016636
                    120,                 2.2305,                 1.5771,                 1.9238,                0.59861,                0.45507,                 0.4837,                0.26951,                 2.8547,                 2.6557,                  2.274,             0.00016438,             0.00016438,             0.00016438
                    121,                 2.2407,                 1.5719,                 1.9233,                0.65592,                0.44049,                0.48062,                0.26853,                  2.848,                 2.6719,                 2.2737,              0.0001624,              0.0001624,              0.0001624
                    122,                 2.2593,                 1.5695,                   1.92,                0.65648,                0.44469,                 0.4797,                0.26963,                 2.8463,                 2.6616,                 2.2685,             0.00016042,             0.00016042,             0.00016042
                    123,                 2.2597,                 1.5762,                 1.9271,                0.64252,                0.43515,                0.48616,                0.27507,                 2.8388,                 2.6524,                  2.275,             0.00015844,             0.00015844,             0.00015844
                    124,                 2.2656,                 1.5878,                 1.9178,                0.55722,                0.47131,                0.48239,                0.27139,                 2.8611,                 2.6738,                 2.2806,             0.00015646,             0.00015646,             0.00015646
                    125,                 2.2546,                 1.5805,                 1.9167,                0.59213,                0.46083,                0.48183,                0.27227,                 2.8546,                  2.666,                 2.2855,             0.00015448,             0.00015448,             0.00015448
                    126,                 2.2546,                 1.5689,                 1.9176,                0.55286,                0.47062,                0.48289,                0.27688,                 2.8561,                 2.6817,                 2.2875,              0.0001525,              0.0001525,              0.0001525
                    127,                 2.2724,                 1.5821,                 1.9118,                0.56569,                 0.4586,                0.47928,                0.27729,                 2.8545,                 2.6848,                  2.281,             0.00015052,             0.00015052,             0.00015052
                    128,                 2.2084,                 1.5465,                 1.9037,                0.55814,                0.46033,                0.48192,                0.28063,                 2.8415,                 2.6843,                 2.2796,             0.00014854,             0.00014854,             0.00014854
                    129,                 2.2413,                 1.5587,                 1.9188,                0.62701,                0.43842,                0.47934,                0.27967,                 2.8323,                 2.6879,                 2.2811,             0.00014656,             0.00014656,             0.00014656
                    130,                 2.2234,                 1.5553,                 1.9079,                0.64261,                  0.432,                0.48322,                0.28092,                 2.8519,                 2.6866,                 2.2852,             0.00014458,             0.00014458,             0.00014458
                    131,                  2.195,                 1.5439,                   1.91,                0.58873,                0.43653,                0.47782,                0.27745,                 2.8547,                 2.7089,                 2.2746,              0.0001426,              0.0001426,              0.0001426
                    132,                  2.194,                 1.5208,                 1.9054,                 0.6231,                0.43202,                0.47396,                0.26856,                 2.8634,                 2.7099,                 2.2884,             0.00014062,             0.00014062,             0.00014062
                    133,                 2.2212,                 1.5341,                 1.9072,                0.56013,                0.45082,                0.47553,                0.26561,                 2.8539,                 2.6892,                  2.287,             0.00013864,             0.00013864,             0.00013864
                    134,                 2.2054,                 1.5249,                  1.907,                 0.6123,                0.44617,                0.48091,                0.27237,                 2.8451,                 2.6826,                 2.2838,             0.00013666,             0.00013666,             0.00013666
                    135,                 2.2365,                 1.5447,                 1.9105,                0.67562,                0.42303,                0.47992,                0.27249,                 2.8211,                 2.6913,                 2.2681,             0.00013468,             0.00013468,             0.00013468
                    136,                 2.2501,                 1.5739,                 1.9137,                0.60753,                0.44559,                0.47398,                0.27561,                 2.8288,                 2.6734,                 2.2739,              0.0001327,              0.0001327,              0.0001327
                    137,                 2.2121,                  1.529,                 1.8994,                0.59552,                 0.4551,                0.47697,                0.27814,                 2.8337,                 2.6777,                 2.2761,             0.00013072,             0.00013072,             0.00013072
                    138,                 2.2106,                 1.5176,                 1.8952,                0.60524,                0.44351,                0.47784,                0.27738,                 2.8365,                 2.7034,                  2.282,             0.00012874,             0.00012874,             0.00012874
                    139,                 2.2214,                 1.5365,                 1.9027,                0.61302,                0.43743,                0.47934,                0.26984,                 2.8477,                 2.7042,                 2.2831,             0.00012676,             0.00012676,             0.00012676
                    140,                 2.1988,                 1.5162,                 1.9061,                0.55414,                0.45929,                0.48195,                0.27069,                 2.8556,                 2.7026,                 2.2877,             0.00012478,             0.00012478,             0.00012478
                    141,                 2.2169,                  1.531,                 1.9026,                0.60395,                0.46234,                0.48253,                0.27193,                 2.8482,                 2.6993,                 2.2935,              0.0001228,              0.0001228,              0.0001228
                    142,                 2.2305,                 1.5252,                 1.9013,                0.62082,                0.44624,                0.48392,                0.27149,                  2.843,                  2.717,                 2.2757,             0.00012082,             0.00012082,             0.00012082
                    143,                 2.2047,                  1.525,                 1.9065,                0.61048,                0.45931,                0.48104,                0.27124,                 2.8347,                 2.6981,                 2.2762,             0.00011884,             0.00011884,             0.00011884
                    144,                 2.1998,                 1.5127,                 1.8965,                0.58633,                0.46919,                0.47966,                0.26991,                 2.8551,                 2.7059,                 2.2843,             0.00011686,             0.00011686,             0.00011686
                    145,                 2.1924,                 1.5059,                 1.8966,                0.62693,                0.44469,                0.47922,                0.27022,                 2.8611,                 2.6881,                 2.2865,             0.00011488,             0.00011488,             0.00011488
